Name,Entry date,Entry price,Exit price (Actual),P/L ,Status,
,02-May-24,151.4,144,-185,Stop loss hit,
,07-May-24,93,80,-325,Stop loss hit,
,08-May-24,205.4,190,-385,Stop loss hit,
,10-May-24,225,255,750,Target hit,
,13-May-24,206,193,325,Stop loss hit,
,14-May-24,203,190,-325,Stop loss hit,
,15-May-24,190,175,-375,Stop loss hit,
,16-May-24,226,210,-400,Stop loss hit,
,17-May-24,201,237,900,Target hit,
,22-May-24,189,180,-225,Stop loss hit,
,28-May-24,217.6,292,1860,Target hit,
,29-May-24,213.5,193.65,-340,Stop loss hit,
,29-May-24,213,273,1500,Target hit,
,30-May-24,154,139,-375,Stop loss hit,
,30-May-24,153,140,-325,Stop loss hit,
,31-May-24,275,262,-325,,
,31-May-24,284,270,-350,Stop loss hit,
,03-Jun-24,306,372,1650,Target hit,
,04-Jun-24,390,380,-250,Stop loss hit,
,04-Jun-24,401,500,2450,Target hit,
,06-Jun-24,304,360,1400,Target hit,
,05-Jun-24,177,157,-500,Stop loss hit,
,05-Jun-24,164,272,2700,Target hit,
,07-Jun-24,247,245,-100,Near Stop Loss,
,07-Jun-24,255,301,1150,Target hit,
,10-Jun-24,258,246,-305,Stop loss hit,
,11-Jun-24,187,223.25,906,Target hit,
,12-Jun-24,233,275,1042,Target hit,
,13-Jun-24,222,207,-375,Stop loss hit,
,14-Jun-24,244,299,1365,Target hit,
,18-Jun-24,217,206,-275,Stop loss hit,
,18-Jun-24,204,194,-250,Stop loss hit,
,20-Jun-24,240,226,-350,Stop loss hit,
,24-Jul-24,192,233,1006,Target hit,
,25-Jun-24,173,157,-400,Stop loss hit,
,26-Jun-24,213,204,-242,Stop loss hit,
,27-Jun-24,176,242,1646,Target hit,
,28-Jun-24,188,175,-342,Stop loss hit,
,11-Jul-24,237,206,-794,Stop loss hit,
,12-Jul-24,220,202,-450,Stop loss hit,
,12-Jul-24,194,179,-375,Stop loss hit,
,15-Jul-24,,,,,
,16-Jul-24,205,196,-235,Stop loss hit,
,18-Jul-24,266,255,-275,Stop loss hit,
,19-Jul-24,180,168,-302,Stop loss hit,
,22-Jul-24,244,240,-100,Near Stop Loss,
,23-Jul-24,,,,,
,24-Jul-24,236,220,-400,Stop loss hit,
,24-Jul-24,223,213,-250,Stop loss hit,
,25-Jul-24,170,156,-350,Stop loss hit,
,25-Jul-24,245,230,375,Stop loss hit,
,29-Jul-24,202,190,-300,Stop loss hit,
,30-Jul-24,160,205,1125,Target hit,
,31-Jul-24,209,221,-300,Stop loss hit,
,01-Aug-24,,,,,
,02-Aug-24,205,194,-286,Stop loss hit,
,05-Aug-24,,,,,
,06-Aug-24,222,200,-300,,
,07-Aug-24,197,182,-394,,
,08-Aug-24,283,260,-584,,
,12-Aug-24,178,238,1500,,
,14-Aug-24,166,150,-413,,
,16-Aug-24,203,239,900,,
,19-Aug-24,,,-383,,
,20-Aug-24,,,-627,,
,21-Aug-24,,,-525,,
,22-Aug-24,,,486,,
,23-Aug-24,,,970,,
,26-Aug-24,,,434,,
,27-Aug-24,,,905,,
,28-Aug-24,,,-300,,
